LevelID,IngredientID,ProfileTag,Mechanic,TargetValue,RuleID,Priority,MatchForce,ForceValue,MatchSpeed,SpeedValue,MatchRatio,RatioValue,MatchCombination,CombinationKey,HintText,TraitDescription
L10,YangjiangDouchi,L10_YangjiangDouchi,Force,Medium,,,,,,,,,,,,"Yangjiang douchi is fermented, savory, and strong."
L10,YangjiangDouchi,L10_YangjiangDouchi,Speed,Medium,,,,,,,,,,,,"Yangjiang douchi is fermented, savory, and strong."
L10,Ginger,L10_Ginger,Speed,Medium,,,,,,,,,,,,"Ginger adds a fresh sharp taste."
L10,YangjiangDouchi,L10_YangjiangDouchi,IngredientOrder,0,,,,,,,,,,,,"Yangjiang douchi is fermented, savory, and strong."
L10,Ginger,L10_Ginger,IngredientOrder,1,,,,,,,,,,,,"Ginger adds a fresh sharp taste."
L10,DriedTangerinePeel,L10_DriedTangerinePeel,IngredientOrder,2,,,,,,,,,,,,"Dried tangerine peel adds a bright citrus taste."
L10,CoarseSalt,L10_CoarseSalt,IngredientOrder,3,,,,,,,,,,,,"Coarse salt is a low mineral anchor."
L10,YangjiangDouchi,L10_YangjiangDouchi,Ratio,More,,,,,,,,,,,,"Yangjiang douchi is fermented, savory, and strong."
L10,Ginger,L10_Ginger,Ratio,SlightlyMore,,,,,,,,,,,,"Ginger adds a fresh sharp taste."
L10,DriedTangerinePeel,L10_DriedTangerinePeel,Ratio,Less,,,,,,,,,,,,"Dried tangerine peel adds a bright citrus taste."
L10,CoarseSalt,L10_CoarseSalt,Ratio,VeryLess,,,,,,,,,,,,"Coarse salt is a low mineral anchor."
L10,YangjiangDouchi,L10_YangjiangDouchi,GrindDuration,28-45,,,,,,,,,,,,"Yangjiang douchi is fermented, savory, and strong."
