LevelID,IngredientID,ProfileTag,Mechanic,TargetValue,RuleID,Priority,MatchForce,ForceValue,MatchSpeed,SpeedValue,MatchRatio,RatioValue,MatchCombination,CombinationKey,HintText,TraitDescription
L08,RedBean,L08_RedBean,IngredientOrder,0,,,,,,,,,,,,"L08 Red Bean focuses on ratio and order."
L08,GlutinousRice,L08_GlutinousRice,IngredientOrder,1,,,,,,,,,,,,"L08 Glutinous Rice focuses on ratio combination and order."
L08,BlackSesame,L08_BlackSesame,IngredientOrder,2,,,,,,,,,,,,"L08 Black Sesame focuses on ratio and order."
L08,LotusLeaf,L08_LotusLeaf,IngredientOrder,3,,,,,,,,,,,,"L08 Lotus Leaf focuses on ratio combination and order."
L08,RedBean,L08_RedBean,Ratio,More,,,,,,,,,,,,"L08 Red Bean focuses on ratio and order."
L08,GlutinousRice,L08_GlutinousRice,Ratio,SlightlyMore,,,,,,,,,,,,"L08 Glutinous Rice focuses on ratio combination and order."
L08,BlackSesame,L08_BlackSesame,Ratio,Less,,,,,,,,,,,,"L08 Black Sesame focuses on ratio and order."
L08,LotusLeaf,L08_LotusLeaf,Ratio,VeryLess,,,,,,,,,,,,"L08 Lotus Leaf focuses on ratio combination and order."
L08,GlutinousRice,L08_GlutinousRice,Combination,GlutinousRice+LotusLeaf,,,,,,,,,,,,"L08 Glutinous Rice focuses on ratio combination and order."
L08,LotusLeaf,L08_LotusLeaf,Combination,GlutinousRice+LotusLeaf,,,,,,,,,,,,"L08 Lotus Leaf focuses on ratio combination and order."
L08,RedBean,L08_RedBean,Combination,RedBean,,,,,,,,,,,,"L08 Red Bean focuses on ratio and order."
L08,BlackSesame,L08_BlackSesame,Combination,BlackSesame,,,,,,,,,,,,"L08 Black Sesame focuses on ratio and order."
L08,RedBean,L08_RedBean,GrindDuration,25-40,,,,,,,,,,,,"L08 Red Bean focuses on ratio and order."
L08,GlutinousRice,L08_GlutinousRice,GrindDuration,25-40,,,,,,,,,,,,"L08 Glutinous Rice focuses on ratio combination and order."
L08,LotusLeaf,L08_LotusLeaf,GrindDuration,25-40,,,,,,,,,,,,"L08 Lotus Leaf focuses on ratio combination and order."
L08,BlackSesame,L08_BlackSesame,GrindDuration,25-40,,,,,,,,,,,,"L08 Black Sesame focuses on ratio and order."
