LevelID,IngredientID,ProfileTag,Mechanic,TargetValue,RuleID,Priority,MatchForce,ForceValue,MatchSpeed,SpeedValue,MatchRatio,RatioValue,MatchCombination,CombinationKey,HintText,TraitDescription
L11,SandGinger,L11_SandGinger,Force,Heavy,,,,,,,,,,,,"Sand ginger gives the recipe a dry spicy base."
L11,Ginger,L11_Ginger,Speed,Medium,,,,,,,,,,,,"Ginger brings a fresher sharper spice layer."
L11,CoarseSalt,L11_CoarseSalt,IngredientOrder,0,,,,,,,,,,,,"Coarse salt is a quiet mineral base."
L11,SandGinger,L11_SandGinger,IngredientOrder,1,,,,,,,,,,,,"Sand ginger gives the recipe a dry spicy base."
L11,Ginger,L11_Ginger,IngredientOrder,2,,,,,,,,,,,,"Ginger brings a fresher sharper spice layer."
L11,ScallionWhite,L11_ScallionWhite,IngredientOrder,3,,,,,,,,,,,,"Scallion white adds a fresh green taste."
L11,SandGinger,L11_SandGinger,Ratio,More,,,,,,,,,,,,"Sand ginger gives the recipe a dry spicy base."
L11,Ginger,L11_Ginger,Ratio,SlightlyMore,,,,,,,,,,,,"Ginger brings a fresher sharper spice layer."
L11,ScallionWhite,L11_ScallionWhite,Ratio,Less,,,,,,,,,,,,"Scallion white adds a fresh green taste."
L11,CoarseSalt,L11_CoarseSalt,Ratio,VeryLess,,,,,,,,,,,,"Coarse salt is a quiet mineral base."
L11,SandGinger,L11_SandGinger,Combination,Ginger+SandGinger,,,,,,,,,,,,"Sand ginger gives the recipe a dry spicy base."
L11,Ginger,L11_Ginger,Combination,Ginger+SandGinger,,,,,,,,,,,,"Ginger brings a fresher sharper spice layer."
L11,ScallionWhite,L11_ScallionWhite,Combination,ScallionWhite,,,,,,,,,,,,"Scallion white adds a fresh green taste."
L11,CoarseSalt,L11_CoarseSalt,Combination,CoarseSalt,,,,,,,,,,,,"Coarse salt is a quiet mineral base."
L11,SandGinger,L11_SandGinger,GrindDuration,30-50,,,,,,,,,,,,"Sand ginger gives the recipe a dry spicy base."
